ID	locution1	locution2	proposition1	proposition2	label	prep_needed	locution1_corrected	locution2_corrected	proposition1_corrected	proposition2_corrected
QT30_310	domestic violence against man with a woman and the only difference is a man doesn't report it as much as a woman does	"Domestic violence against men with women is high compared and obviously, men against women is high"	domestic violence against man with a woman and the only difference is a man doesn't report it as much as a woman does	"domestic violence against men with women is high compared and obviously, men against women is high"	non-contradiction	false				
QT30_347	I know you talked a lot about corporate responsibility	You're not head of Unilever anymore	Fiona Bruce knows Paul Polman talked a lot about corporate responsibility	Paul Polman is not head of Unilever anymore	non-contradiction	false				
QT30_9	I think that this is really more of a challenge that we keep on being promised things are going to be here and then they're not	The app question is interesting	the track and trace system is really more of a challenge than what we keep on being promised that things are going to be here and then they're not	the track and trace app question is interesting	non-contradiction	true				
QT50_605	I don't think it's really for politicians to involve ourselves in any big way in that decision	it's terribly sad what's happened	it's not really for politicians to involve ourselves in any big way in that decision	it's terribly sad what's happened	non-contradiction	false				
QT50_407	it was uppermost in most people's minds that she was not fit for office	Why did they elect Liz Truss	it was uppermost in most people's minds that Liz Truss was not fit for office	xxx is why the Conservative Party elected Liz Truss	non-contradiction	false	it was uppermost in most people's minds that she was not fit for office		it was uppermost in most people's minds that Liz Truss was not fit for office	
QT30_435	their voting base is in agreement that we want to make this a greener world	you might not like all their policies by any means	the major parties voting base is in agreement that we want to make this a greener world	you might not like all the major parties in the UK policies by any means	non-contradiction	false				
QT50_189	"again, SAGE warned, the Lancet Journal warned, colleagues warned in the House of Commons"	"Sadly, when the Prime Minister made his apology in the Commons last week, he made this claim about not knowing, about asymptomatic transmission"	"again, SAGE warned, the Lancet Journal warned, colleagues warned in the House of Commons"	"sadly, when the Prime Minister made his apology in the Commons last week, he made this claim about not knowing, about asymptomatic transmission"	contradiction	false				
QT50_350	that is of colossal damage to people	I was listening to news seeping out of Downing Street to say the mini budget is going to be unpicked if not reversed	the mini budget being unpicked or reversed is of colossal damage to people	according to news out of Downing Street the mini budget is going to be unpicked if not reversed	contradiction	false				
QT30_551	they're not	I was going to say that disabled people are overlooked	disabled people are not overlooked	Rosie Jones was going to say that disabled people are overlooked	contradiction	true	they're not			
QT30_49	Great idea; begs the question where are the teachers	"We can open hotels, we can put up marquees and that way we can get more kids back into school"	great idea; begs the question where are the teachers	"we can open hotels, we can put up marquees and that way we can get more kids back into school"	contradiction	false				
QT30_352	it's the perpetrators and the focus should be on them and on educating them	why women have to be fearful of what they're actuallyâ€¦where they're going	focus should be on the perpetrators and on educating them	people need to be aware of why women have to be fearful of what they're actually doing and where they're going	non-contradiction	true		why women have to be fearful of what they're actually doing and where they're going		
QT30_536	many people could end up in hospital	"death rates should be much, much lower"	many people could end up in hospital	"death rates should be much, much lower"	non-contradiction	false				
QT30_539	it evidently did not drive enough	at that time it drove many establishment changes	it evidently did not drive enough	at that time of the terrible appalling murder of Stephen Lawrence it drove many establishment changes	contradiction	false				
QT50_633	"you've decided not to mention at all that books like Charlotte's Web, right"	how interesting that you've made this an issue to talk about	you've decided not to mention at all books like Charlotte's Web	it is interesting that you've made banning books an issue to talk about	non-contradiction	true	"you've decided not to mention at all that books like Charlotte's Web, right"	how interesting that you've made this an issue to talk about	you've decided not to mention at all books like Charlotte's Web	
QT30_24	the two highest hotbeds of the disease	"Until Sunday you could come from Iran or Brazil, the two highest hotbeds of the disease, with impunity"	Iran and Brazil are the two highest hotbeds of the disease	until Sunday you could come from Iran or Brazil with impunity	contradiction	true				
QT50_212	"the mechanism, the precise mechanism we now have took a bit of time to sort out"	we have had the announcement	"the mechanism, the precise mechanism we now have took a bit of time to sort out"	we have had the announcement of the windfall tax	non-contradiction	true				
QT50_475	that was meant to be ruled out at the last COP	He's still going ahead with fossil fuel subsidies	fossil fuel subsidies were meant to be ruled out at the last COP	Rishi Sunak is still going ahead with fossil fuel subsidies	contradiction	true		He's still going ahead with fossil fuel subsidies		
QT50_632	the government refuses to put in place a proper windfall tax	"Shell today made eye-watering profits, driven by the energy crisis, paid by everybody in this room"	the government refuses to put in place a proper windfall tax	"Shell today made eye-watering profits, driven by the energy crisis, paid by everybody in this room"	contradiction	false				
QT50_117	you contrast that to the Â£20 a week cut to Universal Credit	We've increased social security spending where we have control of our spending by six per cent in Scotland	you contrast that to the Â£20 a week cut to Universal Credit	we've increased social security spending where we have control of our spending by six per cent in Scotland	contradiction	false	you contrast that to the £20 a week cut to Universal Credit		you contrast that to the £20 a week cut to Universal Credit	
QT30_433	the way that they're doing it just really making people's days really bad and horrible	they're right in that	the way that they're doing it just really making people's days really bad and horrible	they're right in the principle	non-contradiction	false				
QT50_542	It was just racially motivated	"because of disability after being attacked by a care work assistant, a support worker, for no reason"	the attack on AudienceMember20230126QT08 was just racially motivated	"AudienceMember20230126QT08 became a person with disability after being attacked by a care work assistant, a support worker, for no reason"	contradiction	true				
QT50_421	But to say that we're not funding the NHS isn't accurate	I think the lady is right to identify that we have backlogs	claiming that we're not funding the NHS isn't accurate	Dr Ayesha is right to identify that we have backlogs of dealing with issues such as social care	contradiction	false	But to say that we're not funding the NHS isn't accurate		claiming that we're not funding the NHS isn't accurate	
QT50_419	let's wait for the announcement	you are reading	let's wait for the announcement	"Armando Iannucci is reading that every department is being asked to look at 10 to 15 per cent cuts in its budget, or savings in its budget"	non-contradiction	false	let's wait for the announcement		let's wait for the announcement	
US2016_11	No	You're supporting Trump here	I'm not supporting TRUMP here	you're supporting TRUMP here	contradiction	false				
QT30_331	"they are trying to persuade us, ordinary people, to adjust our lifestyles to meet their ambitions"	fish gotta swim and the rich got to fly	"they are trying to persuade us, ordinary people, to adjust our lifestyles to meet their ambitions"	fish got to swim and the rich got to fly	non-contradiction	false				
QT50_288	it never happens on the classroom floor	what we really want is to see our young people being looked after the way they are promised by Government	young people are never looked after as promised by the government on the classroom floor	what we really want is to see our young people being looked after the way they are promised by Government	contradiction	true				
QT30_490	Is that reasonable?	They probably have the legal right to open every packet and inspect every sausage	that is not reasonable	they probably have the legal right to open every packet and inspect every sausage	contradiction	true				
US2016_42	No	That's ridiculous	that's not ridiculous	that's ridiculous	contradiction	false				
QT50_205	it's been ignored by the European Union	We've been talking about this issue for over two years	the issue of trade borders between Northern Ireland and the United Kingdom has been ignored by the European Union	we've been talking about the issue of trade borders between Northern Ireland and the United Kingdom for over two years	contradiction	false				
QT30_102	People say that's impossible because there are multi-generational households	because there are multi-generational households	people say letting the younger generation shielding the elderly is impossible	the younger generation can't shield the elderly because there are multi-generational householdsÂ 	non-contradiction	false	People say that's impossible because there are multi-generational households			the younger generation can't shield the elderly because there are multi-generational households
QT30_351	"we are frontline, kind of"	Some of our staff still aren't vaccinated because of our age	"education workers are frontline, kind of"	some of the education staff still aren't vaccinated because of our age	contradiction	false				
QT30_511	we can't afford to take the chance either way	I know people want to get off	we can't afford to take the chance on foreign holidays either way	Victor Adebowale knows people want to get off	contradiction	true				
QT50_198	"this is, I think, really complicated and I genuinely don't know how I feel"	I felt I knew a lot about that	"the issues around parole for baby P's mother are, Jack Thorne thinks, really complicated and he genuinely doesn't know how he feels"	Jack Thorne felt he knew a lot about the topics he's been forthright on	non-contradiction	false				
QT30_202	we also have to look at that evidence and be cautious but irreversible	Human nature is that we want to look forward to better times	we also have to look at that evidence and be cautious but irreversible	human nature is that we want to look forward to better times	non-contradiction	false				
QT50_358	it feels like we've known this all along	I don't know why it has taken the rest of them	it feels like we've known this all along	Stuart Murdoch doesn't know why it has taken the rest of them	non-contradiction	false				
QT30_361	which I think was an absolute failure	"but we didn't include the largest hate crime, which is sexism and misogyny in that Hate Crime bill"	not including sexism and misogyny in the Hate Crime bill was an absolute failure	"we didn't include the largest hate crime, which is sexism and misogyny in that Hate Crime bill"	contradiction	false				
QT50_54	at the same time we can't simply say this is something for the future	We have to answer that question as to why we have ended up with this tragic death toll as we have	at the same time we can't simply say this is something for the future	we have to answer that question as to why we have ended up with this tragic death toll as we have	non-contradiction	false				
QT30_479	"Today, whether you want to do it via Qatar, or via the UAE, you have to directly or indirectly engage with them"	"Ten days ago, the idea of talking to the Taliban was utterly unimaginable"	"today, whether you want to do it via Qatar, or via the UAE, you have to directly or indirectly engage with the Taliban"	"ten days ago, the idea of talking to the Taliban was utterly unimaginable"	non-contradiction	false				
QT50_606	what you can't control is how much the other countries will grow	you can make this pledge	what you can't control is how much the other countries will grow	Thangam Debbonaire can make a pledge to have highest sustained growth	contradiction	true				
QT50_38	you don't have the freedom to shout fire in a crowded restaurant	you do have the freedom to do a lot of things	you don't have the freedom to shout fire in a crowded restaurant	you do have the freedom to do a lot of things	non-contradiction	false				
QT50_53	"it is difficult to talk about celebration when we are talking about it in the context of Margaret's questions of 30,000 deaths"	This is due to the hard effort of 1 million front line staff that we have managed to avoid an overwhelming situation	"it is difficult to talk about celebration when we are talking about it in the context of Margaret's questions of 30,000 deaths"	this is due to the hard effort of 1 million front line staff that we have managed to avoid an overwhelming situation	contradiction	false				
QT50_533	"if not, weeks"	They're there for days	elderly patients who need social care are in wards unable to be discharged for weeks	elderly patients who need social care are in wards unable to be discharged for days	non-contradiction	false				
QT50_215	A blind man on a galloping horse would see this for what it is	I try hard not to be cynical about these things	a blind man on a galloping horse would see this for what it is	"Naomi Long tries hard not to be cynical about these things, like parlimentary recess"	non-contradiction	false				
QT50_661	nothing	we hear words from the Conservative Government	nothing is happening	we hear words from the Conservative Government	non-contradiction	false				
QT30_94	businesses may look to do that in the future	"As a government we've not got plans to introduce a passport or anything like that, of that nature"	businesses may look to introduce an immunity passport in the future	"the UK government have not got plans to introduce an immunity passport or anything like that, of that nature"	non-contradiction	true		"As a government we've not got plans to introduce a passport or anything like that, of that nature"		
QT50_422	That idea has now gone	"No, but I'm simply saying that the Prime Minister, when he was Chancellor, came up with this idea, the social care levy"	the idea of social care levy has now gone	"the Prime Minister, Rishi Sunak, when he was Chancellor, came up with this idea, the social care levy"	non-contradiction	false		"No, but I'm simply saying that the Prime Minister, when he was Chancellor, came up with this idea, the social care levy"		
QT30_192	this is the first time this past election I had to seriously sit down and think about whether I would vote Labour	I have voted Labour all my life	this is the first time this past election Rose Unknown had to seriously sit down and think about whether she would vote Labour	Rose Unknown has voted Labour all her life	non-contradiction	false				
QT50_400	So is levelling up still going to happen	a big issue for that was levelling up	"with the tough economic decisions that need to be made, will or will mot levelling up still happen"	a big issue for Rishi Sunak's legitimacy to govern was levelling up	non-contradiction	false				
QT30_270	I can't be against it	"it is going to be close to zero, the impact on GDP"	Daniel Finkelstein can't be against the trading agreement	"it is going to be close to zero, the impact on the Gross Domestic Product"	non-contradiction	true				
QT50_610	The reality is that all countries in the western world are facing economic challenges at the moment	the IMF forecast the UK to be the only G7 economy that's going to shrink this year	the reality is that all countries in the western world are facing economic challenges at the moment	the IMF forecast the UK to be the only G7 economy that's going to shrink this year	contradiction	false		the IMF forecast the UK to be the only G7 economy that's going to shrink this year		the IMF forecast the UK to be the only G7 economy that's going to shrink this year
US2016_15	nothing is gonna happen unless we are prepared to deal with campaign finance reform	"I am proud that , along with Senator Barbara Boxer , a few years ago , we introduced the first piece of climate change legislation which called for a tax on carbon"	nothing is gonna happen unless we are prepared to deal with campaign finance reform	"along with Senator Barbara Boxer , a few years ago , SANDERS introduced the first piece of climate change legislation which called for a tax on carbon"	contradiction	false				
QT30_450	that isn't really the point here	it's great that now we can use remote contact with GPs to get a new prescription or deal with something very small	that we can now use remote contact with GPs to get a new prescription or deal with something very small isn't really the point here	it's great that now we can use remote contact with GPs to get a new prescription or deal with something very small	contradiction	false				
QT30_259	it is the constant interference from the requirement to do that that is painful	"we all, more or less have common sense and realise that we're going to have to sacrifice another 4 weeks"	it is the constant interference from the requirement to sacrifice another 4 weeks that is painful	"we all, more or less have common sense and realise that we're going to have to sacrifice another 4 weeks"	non-contradiction	false				
QT50_132	I find it hard to believe that there aren't other examples of similar risky things happening in the NHS	it's isolated in the sense that it's the absolute worst example	it is hard to believe that there aren't other examples of similar risky things which result in children's deaths happening in the NHS	the reports of the children dying in the maternity services in the UK are isolated in the sense that it's the absolute worst example	contradiction	false				
QT30_542	I'm pretty sure it now will be	It is a conversation that I honestly never thought would needed to be had in my lifetime	Philip Unknown is pretty sure it is a conversation that now will be had in his lifetime	it is a conversation that Philip Unknown honestly never thought would needed to be had in his lifetime	non-contradiction	false	I'm pretty sure it now will be			
QT50_531	we have a problem with people coming across the Channel	I don't have a problem with people coming	we have a problem with people coming across the Channel	AudienceMember20230112QT14 doesn't have a problem with people coming	contradiction	false				
QT50_334	The circumstances outweigh any gains	it did want to free up and take off the edge of some of what is effectively a tax on moving and on the housing market	the circumstances outweigh any gains	the government did want to free up and take off the edge of some of what is effectively a tax on moving and on the housing market	non-contradiction	false				
QT50_268	I don't see any of the current leadership contenders asking for Johnson to go now	We keep talking about trust	AudienceMember 20220721QT19 does not see any of the current leadership contenders asking for Boris Johnson to go now	we keep talking about trust	non-contradiction	false				
QT30_157	so many people are facing unemployment	so many people are facing wage cuts	so many people are facing unemployment	so many people are facing wage cuts	non-contradiction	false				
QT30_114	we can have a border internally within the United Kingdom	the United Kingdom under Theresa May fell into the trap that was led for them by the Republic of Ireland that the Belfast Agreement was about no borders on the island of Ireland	we can have a border internally within the United Kingdom	the United Kingdom under Theresa May fell into the trap that was led for them by the Republic of Ireland that the Belfast Agreement was about no borders on the island of Ireland	contradiction	false				
QT50_312	That should have been done	To do an announcement like Friday without the Office of Budget Responsibility giving an independent forecast that backs it up	giving an announcement like on Friday with the Office of Budget Responsibility giving an independent forecast that backs it up should have been done	an announcement was made on Friday without the Office of Budget Responsibility giving an independent forecast that backs it up	contradiction	true				
QT30_34	"as opposed to the nit-picking and the point-arguing that we have seen on Twitter, very strangely, from this Government in particular"	your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point	"as opposed to the nit-picking and the point-arguing that we have seen on Twitter, very strangely, from this Government in particular"	your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point	contradiction	false				
QT50_200	Or is it that they're going to get released and we're going to go through this again	"As much as we don't want to think that she's going to get released, is it not setting the precedence for everybody else that's been jailed since that they're going to have to spend that much time in and they're not going to get a chance to be released"	or they are going to get released and we're going to go through this again	"as much as we don't want to think that Tracey Connelly is going to get released, is it not setting the precedent for everybody else that's been jailed since that they're going to have to spend that much time in and they're not going to get a chance to be released"	non-contradiction	false				
QT50_121	I don't know if that's accurate	"apparently one of the planes went in Swedish airspace, but I think it was a week ago, was actually carrying a nuclear bomb"	the plane flying over Swedish airspace holding a nuclear bomb may not be an accurate story	one of the planes went in Swedish airspace a week ago was actually carrying a nuclear bomb	contradiction	false				
QT30_456	evidently it does not resolve the problem	I understand this does offer some relief	evidently the fund does not resolve the problem	Boris Johnson's fund does offer some relief	non-contradiction	false				
QT50_125	we would've been fined	is never held accountable	we would've been fined	Boris Johnston is never held accountable	non-contradiction	true				
US2016_22	we did n't create ISIS	only ISIS is responsible for the terrorism	we did n't create ISIS	Republican hawks are to blame for the rise of ISIS	contradiction	true	we didn't create ISIS		we didn't create ISIS	
QT30_291	it is clear it is for those businesses that have to close	that's great	it is clear the grants are for those businesses that have to close	it is great that there has been grants	non-contradiction	true		that's great		
QT50_97	now I can fully speak English	I come in here and I have no English	now AudienceMember 20220310QT29 can fully speak English	AudienceMember 20220310QT29 came to Britain and had no English	non-contradiction	false				
QT50_465	We have to support them and fulfil that promise we made	"Right now the staff are undervalued, underresourced, and underpaid"	we have to support the NHS staff and fulfil that promise we made	"right now the NHS staff are undervalued, underresourced, and underpaid"	non-contradiction	false				
QT50_592	there's no parliamentary scrutiny or approval of any of these trade deals	"the point, which is that, Jacob talks about taking control"	there's no parliamentary scrutiny or approval of any of these trade deals	the point is that Jacob Rees-Mogg talks about taking control	non-contradiction	false				
QT30_546	The problem is that would be putting me ahead of the queue in terms of clinical need	I would be happy to do that	the problem is Matt Hancock taking the vaccine to encourage others would be putting Matt Hancock ahead of the queue in terms of clinical need	Matt Hancock would be happy to take the vaccine to encourage others	contradiction	true				
QT50_492	despite us chairing COP	"our Prime Minister announced today that despite us chairing COP, he will not be going to the next COP in Egypt"	we chair COP	our Prime Minister announced today that he will not be going to the next COP in Egypt	contradiction	false				
QT30_275	people do look to them for leadership	politicians are anybody special	people do look to politicians for leadership	politicians aren't anybody special	contradiction	false				
QT30_366	Not in the North East	it's the Conservative Government in London that is investing Â£16 billion in the transition fund to move us into this new renewables future	the Conservative Government in London is not investing Â£16 billion in the transition fund to move us into this new renewables in the North East	it's the Conservative Government in London that is investing Â£16 billion in the transition fund to move us into this new renewables future	non-contradiction	false		it's the Conservative Government in London that is investing £16 billion in the transition fund to move us into this new renewables future	the Conservative Government in London is not investing £16 billion in the transition fund to move us into this new renewables in the North East	it's the Conservative Government in London that is investing £16 billion in the transition fund to move us into this new renewables future
QT50_574	They are really bad places	"the idea as well that women's prisons are like the Women's Institute, everybody is making jam and doing knitting"	women's prisons are really bad places	"there's an idea as well that women's prisons are like the Women's Institute, everybody is making jam and doing knitting"	contradiction	false				
QT30_152	"in this instance, the EU call the shots on that"	everything that the UK does is not perfect by any stretch	"in this instance, the EU call the shots on the protectionism"	everything that the UK does is not perfect by any stretch	non-contradiction	false				
QT50_275	"through elections, through the things we have been discussing, democracy takes its course and you go through periods of time where maybe you change leaders more frequently than you would like"	"It is clearly, not ideal to change Prime Minister frequently"	"through elections, through the things we have been discussing, democracy takes its course and you go through periods of time where maybe you change leaders more frequently than you would like"	"it is clearly, not ideal to change Prime Minister frequently"	non-contradiction	false				
QT30_138	we know there were shortages	it has been very difficult to explain why there were no shortages	we know there were shortages	it has been very difficult to explain why there were no shortages	contradiction	false				
QT50_433	claps don't pay bills	Through the pandemic we stood on the doorsteps and clapped	claps don't pay bills	through the pandemic we stood on the doorsteps and clapped	contradiction	false	claps don't pay bills		claps don't pay bills	
