seg1,seg2,label,contradiction type,issues?
Oh man that stinks. What did you do in response?,It's not a big deal and you shouldn't be upset about something so small.,self-contradiction,lexical,
Yes I always watch sports at least a few times a week. What about you?,"Because,  I don't interest that.",self-contradiction,negation,Missing Context
"Yes,  I am so lucky to have her in my life.  I dont think i would make it otherwise lol she takes care of me",it is a pathetic situation,self-contradiction,lexical,Missing Context
"cool , but i'm going to be released in a month",I wish. I am in here for another few years.,self-contradiction,lexical,
I like tacos too. Fish tacos are my favorite. ,"That's awesome! Steak tacos are my favorite, let me know when you open so I can try some!",self-contradiction,lexical,
i am a genius and know over 300 languages. Although english dominate other as one language have to dominate other. I still love that fact that I am more than bilingual ,"Me too, I only know  one language.",self-contradiction,lexical,
"yea , i love watching the leaves change color . what do you do ?","I hate it when the leaves change colors, I wish they would just stay green every season.",self-contradiction,antonymy,
"Oh,  yeah I understand that,  it is the same way with my girlfriend now",Sometimes I feel like I do not understand this emotional stuff anymore.,self-contradiction,negation,
I will have to look it up to see when  and where it comes,i wont like to look,self-contradiction,negation,
yes am afraid of heights and great to hear you love languages,But why would i need a psychologist?  I'm not afraid of anything.,self-contradiction,negation,
"That's too bad,  I'm sorry to hear that. I hope you feel better soon!",Honestly I hope you stay sick! A little bit of suffering doesn't hurt nobody.,self-contradiction,negation,doesn’t make any sense
Sydney was a fun town and the scenery was beautiful,nothing much to see. it was boring.,self-contradiction,lexical,Missing Context
"Oh,  I have hulu,  I need to look into that!",I've heard The Handmaid's Tale is very good! I'll have to consider subscribing to Hulu.,self-contradiction,WK,
i am good . i am eating leftovers .,I don't know what call of duty is.,self-contradiction,N-a,Missing Context
"ASL , spanish, french and english",I've never studied Spanish.  Always wanted to.,self-contradiction,negation,
I have had a dog that had curly hair. It was a mixed poodle and it was red. Really active animal she was. ,I wish I could have a pet dog.,self-contradiction,lexical,
hellz yea.. all about number 1,You are really a terrible person.  ,self-contradiction,N-a,Missing Context
Skiing.  I love to ski. ,"I don't like skiing , I don't think I would find learning about their history interesting.",self-contradiction,negation,
"i was a mechanic, i fixed them","Really, I wish I could be a mechanic that worked on them.",self-contradiction,lexical,
"That must have been unpleasant for her. I am glad to hear that she is feeling better, ",what is the problem she got infected by?,self-contradiction,lexical,
Yes. I playing pool and poker.,I do not like to play poker. Im more of a Blackjack person,self-contradiction,negation,
"That's great. I'm a native spaker, but from what I understand English is very hard to actually learn",I have no idea because I don't speak English.,self-contradiction,negation,
"Sounds fun,  I love sushi.",Not to me.  Sushi is a boring food. I hate it,self-contradiction,antonymy,
Green is actually my favorite color too and I have green eyes.,Ow  seriously  ???!!! I also  love  color  red but  pink  is  my  1st choice . ,self-contradiction,lexical,
"Some existed back in the 18th century in Japan and Europe, they did not become popular in the US until the 1930s","Yes, of course!",self-contradiction,N-a,Missing Context
I do not. I dont have a boyfriend either though,"That 's okay, I already have plans with my boyfriend this weekend!!",self-contradiction,negation,
I am broke,"No problem, my current job pays well.",self-contradiction,WK,
"You're right, its a thriller film directed by David R. Ellis and starring Samuel L. Jackson.","Living snakes are found on every continent except Antarctica and on most islands. ... They range in size from the tiny, 10 cm long thread snake to pythons and anacondas of up to 7.6 metres (25 ft) in length.",self-contradiction,N-a,doesn’t make any sense
That must have been scary. It could have gone really badly.,I don't think that was scary. It's nature.,self-contradiction,negation,
"Well, a job is definitely a good use of your time as well! But yea, it's much less nerve-wracking when you study ahead of time.","Well thats your fault , jobs are for sheep and a waste of your time.",self-contradiction,lexical,
"Nice,  will check it up,  i love indoor athletics as well",I only like outdoor athletics.,self-contradiction,lexical,
I don't care for birthdays. It is when my ex died.,I am sorry to hear about your ex.,self-contradiction,N-a,doesn’t make any sense
"Red is such a pretty color, don't you think?","Same. I don't really care much for them either, especially red. Red is ugly. ",self-contradiction,antonymy,
i'm really good my crazy cat woke me up this morning,The only cat I have died some months ago. ,self-contradiction,WK,
"I am pretty trusting.  But my car is pretty old and beat up, so it isn't worth all that much.  I still love it.","Mine is a new car too, it's in perfect condition and I try my best to keep it that way.",self-contradiction,antonymy,
i own a few dogs . what about you ?,Sounds awful. I hate dogs!,self-contradiction,negation,
Could be.  Had something to do with the great potato famine which caused the immigration which resulted in 33 million americans reporting Irish ancestry in 2013.,No. It had nothing to do with the potato famine.,self-contradiction,negation,
Yes it is. Too bad I stopped going since I been working on Sundays,"The world is full of sin, my friend.  That's why I never attend church.",self-contradiction,WK,Missing Context
"I have a blue motorcycle, I like to ride it on the weekends!",Isn't it the best? My bike is green...what color is yours? ,self-contradiction,lexical,
I recently had a business like that but had to shut it down because of traveling and not having time anymore,"I haven't, I stay at home all the time. I don't like going out",self-contradiction,lexical,Missing Context
Im sorry to hear that. Did you ask them why?,That's so funny!,self-contradiction,N-a,Missing Context
I love parrots! I have one called Cheeto because they're my favourite snack.,I can't have parrots because of my kids.,self-contradiction,negation,
"i volunteer at a food bank , so i talk to all kinds of people .",i am always lonely and bored at work.,self-contradiction,lexical,not really a contradiction
"i do , me and my husband both go to bible study every wednesday",I don't go to church currently.  I am not really the religious type.,self-contradiction,negation,
I have a dog! He is my family. A golden retriever,My children love my dog! ,self-contradiction,lexical,not really a contradiction
"I have, ever since 1973 when the German automaker Volkswagen first produced them",Why wouldn't they? Volkswagen is an american brand. ,self-contradiction,lexical,
I love them too. I also love yellow rice,oh okay dear bye,self-contradiction,N-a,not really a contradiction
I have been taking Marketing classes it is the study of management of exchange relationships.,"I haven't taken any of the courses before, so I've been looking into it a lot.",self-contradiction,negation,Missing Context
"a husky , you have an pets ?",I hate the snow,self-contradiction,lexical,not really a contradiction
I like to watch anything. How about you?,I am very picky when it comes to movies,self-contradiction,lexical,
sell the business and move here to grand rapids . nice winters in michigan .,"Okay, I love it here, except the winters are extremely too cold.",self-contradiction,lexical,Missing Context
"That's very fair, thank god for caller ID. Should be ending soon and you can go back to your normal life without those pesky calls.","Yes it is very difficult to find , I think you phone does not have caller ID.",self-contradiction,negation,
you can go out on fridays for karaoke like i do now !,"I don't know, but what's for certain is that I hate karaoke and dogs.",self-contradiction,negation,
"You know its funny,  my first date used to be a bad memory,  but now its kind of funny.",I dont think so. ,self-contradiction,negation,Missing Context
Like a bathroom maybe!  some people really just dont understand manners.,"It's okay to fart in public. It is a natural process, I do not know why people ask it to do privately.",self-contradiction,lexical,Missing Context
"That's better, since you can be conscious while sleeping.",I don't really pay that close attention to my dreams anyway.,self-contradiction,lexical,
Hello! Do you like paramedics in the healthcare profession? That's my job.,Did I mention I work for a construction Company,self-contradiction,lexical,
"nah , i'd rather get a corvette asap , it will fulfill my life",I prefer trucks,self-contradiction,lexical,
I love horror novels. Wish I had one because my day has gone horribly so far.,"I'd give you one if I could, but I'm stuck at work today.",self-contradiction,lexical,Missing Context
That's cool. I love horse riding.,"No, horse riding is what I hate to do most. it's not my thing",self-contradiction,antonymy,
"yes , mine is pink ? my favorite animal is a koala what is your ?",I love blue skies! Blue is my favourite colour you know.,self-contradiction,lexical,
I've always been interested in neurosurgery. The brain is so important.,"Yeah, it would never work out for me. I just never could get interested in surgery or medical stuff..",self-contradiction,lexical,
I am so mad at my sister in law. You just wait until I tell you what she's done!,"I don't blame her, she really wanted the enhancement.",self-contradiction,lexical,
"I should say yes, but I haven't read my bible in years.",Cool! I frequently read my books about vegetarianism and my Bible.,self-contradiction,negation,
okay . . rough day waiting tables . . headed to class soon . and you ?,"Yes, I even had a great day today.",self-contradiction,lexical,
I am fluent in english and spanish. What region of north america are you from?,Wow that's cool. I am from Barcelona but I don't know any spanish.,self-contradiction,negation,
Oh wow! I didn't know that. Do you know how many albums they made?,No English rock bands were popular in the us in the 1960's.,self-contradiction,WK,Missing Context
yes . i am the youngest of four and you will never guess when i was born,"Yes, once I went hiking with my 2 younger brothers.",self-contradiction,WK,
"i might be able to relate to your wife , since we are both women .",Don't say that be optimistic after all us guys have to stick together.,self-contradiction,lexical,
Basketball is played on a rectangular court with limited contact. Do you play?,I was talking about baseball!,self-contradiction,lexical,
"I'm so jealous! I'll be working, probably. Which part of Australia are you visiting?",I've heard Australia is crime ridden. I would hate to have to go there.,self-contradiction,lexical,
Yeah i would have yelled at him,"Yeah, me too.  I wouldn't have yelled either.",self-contradiction,negation,
"You won't be,  i assure you. Do your part and hope for the best. :)",You could just damage the condoms you know. He has to do his part too.,self-contradiction,N-a,Missing Context
"worn , whatever . i think i am gonna quit my job to be a roadie for justin bieber","Fan? Not at all. I honestly don't like Justin Bieber at all, I feel like he is really over-hyped and his music is not my type anyways.",self-contradiction,lexical,
Yeah I just was out on a rafting trip and I got burnt to a crisp despite the sunscreen.,I dont need sunblock that anyway because i never get sun burnt.,self-contradiction,negation,
"I've never been in one,  but I always assumed they were cleaner!",I frequent the ladies room since I must have a small bladder. ,self-contradiction,negation,Missing Context
"Yes $200 is expensive. It is always good to fix them if you can,  especially for the nicer ones","Yes, they're definitely not worth fixing.  ",self-contradiction,negation,
i'm great just petting my golden retriever . how are you ?,"I like black, which is the color of my black Labrador dog. ",self-contradiction,lexical,
"Fresh beats as in music, I want to make a living playing in front of an audience.",No I am not artistic at all. I would never perform in front of an audience. ,self-contradiction,lexical,
she sold cars like me in the family business,Yeah. I just realized that she didn't do any types of selling any cars,self-contradiction,negation,
"I will be looking else for a new job, i am tired of my present job.",We are now both looking for jobs.,self-contradiction,lexical,
"Lol that is absolutely a real phobia, I know exactly what you mean. Job searching is the worst. ",i love food.,self-contradiction,N-a,Missing Context
Very cool! I have played but I'm not any good! I'm more of a hockey guy.,Actually I am more of a basketball guy so hockey isn't really my thing. ,self-contradiction,negation,
folk music is my favorite . what are you getting your degree in ?,That's great! I love all kinds of music...except folk music. I hate folk music. ,self-contradiction,antonymy,
"Yeah that's true. The main economy there is fishing, natural gas and oil. It has an abundance of resources apparently. It would be nice to go fishing there.","The increase in population have almost depleted the fishing, natural resources, oil and gas.  The pollution is becoming a problem.",self-contradiction,negation,
"mine is too . i had to take care of my son today , he was not feeling to well .","He left school last year and started work, and he's doing just great!",self-contradiction,WK,
well i go to elementary school,I use train to go to work.,self-contradiction,lexical,
"Congratulations! That's wonderful. Well, your best best is to buy fresh meat, never use those pre-made frozen burgers.",This is why I only buy pre-made frozen burgers.,self-contradiction,negation,typos
I love the tune of C. Do you like Mozart by any chance? He has great strings.,I don't like the tune of C. He has fewer strings in all the tunes,self-contradiction,negation,
"I love reading, it is so relaxing!",true that ! i would rather lay in the pool to relax instead of reading a book,self-contradiction,lexical,
hey it paid for my mercedes . no complaints,Yea my BMW is awesome I need to take you on a ride some times. ,self-contradiction,lexical,
Oh I feel ya.  No kids yet so I'm soaking up all the freedom I can hahaha,"I'm an attorney, which I hate because I don't get to spend any time with my kids. ",self-contradiction,lexical,
Yes and all the people were very nice!,That child was so rude and interrupting everyone at the party.,self-contradiction,antonymy,
"I was the youngest, too!  Everyone said I was spoiled.",That's why I'm glad I was an only child.,self-contradiction,WK,
It's been really rainy. My power just went out awhile ago.,Well luckly I havent lost power in quite a while.,self-contradiction,negation,
it is very good! Pasta  is a staple food of traditional Italian cuisine,"I'm not sure. Never really liked pasta, honestly.",self-contradiction,negation,
Love it as there are many activities and beaches within a couple miles.,I am sure you know best.,self-contradiction,N-a,Missing Context
I have a 7 year old daughter,"I don't have any children, and I hope I never do. Too much work.",self-contradiction,negation,
"i'm fifteen , but being so tall , i look older .",that wouldn't be a problem. i'm 25 so i can just go in and buy it,self-contradiction,numeric,
very cool . i write code for computers but play with my dogs on the weekends .,I suppose one would would show up to the shelter and volunteer. I wouldn't know. I spend my free time playing video games.,self-contradiction,lexical,
I like drawing in general. I draw comics in my spare time sometimes.,"No, I don't really like comics.",self-contradiction,negation,
"i love playing basketball,  especially cause i have the height advantage too ","No, I am pretty short and I can never make a basket.",self-contradiction,lexical,
"Don't hold this against me, but I like the Patriots. They seem to always be the team with the most points at the end of the game.","Yeah, but I like the Bengals at the end of the day. The Patriots can suck eggs.",self-contradiction,negation,
Oh wow! How nerve wrecking!,That’s good. That won’t be scary at all.,self-contradiction,negation,
Awww man!  You are lucky!  That sounds amazing!,I see. That's okay I guess. I don't really like chocolate though.,self-contradiction,lexical,Missing Context
So is mine! What makes yours awesome?,My best friend is a total jerk. He stole my girlfriend and wrecked my car.,self-contradiction,antonymy,Missing Context
"I am not the biggest fan, are they still popular?","I enjoy watching the series, I love MTV!",self-contradiction,negation,
"hello , what are you doing ? my parents are dead .",Yes but my parents help me to build them. We are working on one right now!,self-contradiction,WK,
Oh goodness that's horrible!  Don't they have a leash law where you live?,I don't think there's a big deal in what the dog is doing.,self-contradiction,negation,
my reality tv is talking to strangers on the subway .,Well I don't talk to anyone while I'm on the subway.,self-contradiction,negation,
"yeah , animals are cute . i became vegan because of it .","I still eat meat, I have a friend I can recommend though.",self-contradiction,WK,
The pay is decent. I work for myself so I can make anywhere from $25 - $250 per hour.,"i hate the pay,i wish i could earn more pay in this job.",self-contradiction,lexical,
I love Texas.,"I do not like his accent, very southern and I am not a fan of Texas state.",self-contradiction,negation,
interesting . do you have any hobbies ? i like visiting the museums .,I dont have a favorite museum. I dont like museums to be honest. I dont have a lot of friends and there's nothing to do here so I just visit them.,self-contradiction,negation,
"I am proud. And he may eventually cure cancer,  but I'd settle right now for him cleaning his room!",Maybe he's not such a genius after all. ,self-contradiction,negation,
"I am entertained by modern dances now too though, some of the stuff people can do takes a lot of athleticism!","Not really, they are pretty average actually. I think anybody could do that kind of stuff.",self-contradiction,lexical,Missing Context
I've been spending a lot of time alone lately.,"Yeah, but my son still takes up a lot of my time.",self-contradiction,lexical,
" A steak is a meat generally sliced across the muscle fibers, it is also one of my favorite dishes as well",I wouldn't know. I'm a vegan.,self-contradiction,negation,Missing Context
fun . i'm dating a guy that works for nasa .,me too! but i cant find no one,self-contradiction,negation,Missing Context
that sounds like fun. for some reason kids really enjoy cooking.,Too bad my kids hate cooking with me.,self-contradiction,antonymy,
Someone stole my newspaper this morning.,Oh! I read about Thailand in the paper today.,self-contradiction,lexical,
I used to live in a blue house. But it got destroyed by a tornado.,Yes my red house where I grew up in was destroyed. ,self-contradiction,lexical,
hi ! good because i played hooky today . . . just baking my fave brownies today . you ?,I've been at work all day.,self-contradiction,negation,
"Im making about 200 or 400  a month on taking surbeys and 400 donating plasma, all of it is going to savings and putting it down on our house.  ","Nice, I am going to use all my money on a vacation next month.",self-contradiction,negation,typos
"not to far,  but it's still sad to see her go.",I am happy she is moving. I didn't like her anyway.,self-contradiction,negation,
He did the Twelve Step Program through Alcoholic Anonymous.  We're very proud of him.,"We've been so ashamed of my dad's history, we've needed AA to help us cope.",self-contradiction,antonymy,
I am sorry. At least you tried.,That's it?! No wonder she won't forgive you.,self-contradiction,lexical,Missing Context
i hear you ! have you heard of league of legends before ? i am such a gamer !,I don't play many games since I'm always busy with sports.,self-contradiction,negation,
"Yes, it involves aging to seventy and then rocketing up the half-pipe wall like a wave, during a severe thunderstorm",I know right? Doing a kickflip like that at forty would be an impressive feat indeed.,self-contradiction,numeric,Missing Context
I really enjoy tea. I try and get to the gym. and always have hard boiled eggs after it. how often do you go?,I guess.   But I can never seem to drag myself into the gym to do any of them.  It's been months since I saw the inside of a gym. ,self-contradiction,negation,
That sounds like a dreamland! I have been once there but i wish on other circumstances,It was the perfect time for me to be there!  I never feel the need to go again.,self-contradiction,lexical,
you sound smart ! lots of people have trouble giving up eggs and fish .,You seem so dull,self-contradiction,lexical,
"That will do it,  sorry to hear that!",I'm happy you killed it. Cacti are awful plants. ,self-contradiction,N-a,Missing Context
hi . jane here with a chat for you . which of six languages you want ?,I wish I knew a foreign language.,self-contradiction,factive,
Yes it's an interesting concept.  I like to try do things more naturally.  That's one reason I like being a fruitarian.,I do not like natural things,self-contradiction,negation,
I'd love to know more about entomology,"No, I don't want to know anything about entomology. ",self-contradiction,negation,
"I developed it after having one or more panic attacks, causing me to worry about having another attack and avoid the places where it may happen again.",I actually never fear anything. I'm basically a daredevil. No fear is my motto!,self-contradiction,negation,
Sounds like you have a really nice brother. You are very lucky!,"nice, which time u start dinner.",self-contradiction,N-a,Missing Context
You are wonderful just the way you are! Be happy that you are alive and healthy and beautiful! I am sure your brother wishes he could have something of yours too.,yes it matters for me too. i don't understand the thing of being happy for whatever we have.,self-contradiction,factive,
well . i mean . i hate chocolate though,My favorite thing to cook are chocolate donuts. It's my favorite flavor!,self-contradiction,antonymy,
"oh, i've didn't know hamlet is a human settlement. I only knew Hamlet the book lol",I knew that already,self-contradiction,negation,
That is a long time to not be alone!,"Yeah, I don't think so either.",self-contradiction,N-a,Missing Context
"but my toenails are delicious, what do you do for a living","I agree, I think it's dangerous",self-contradiction,N-a,Missing Context
"whiskey ? i've dogs named bourbon , whiskey , and rye .","Just me and my wife.  She's allergic to dog hair, so no dogs for us.",self-contradiction,negation,Missing Context
malamute . i like big dogs but next one may be an ankle biter .,I hate big dogs but surfing is cool,self-contradiction,antonymy,
"cool, I have never been there, in fact I have never been on a cruise either","I disagree, I went on a cruise with my family last fall and it was a lot of fun!",self-contradiction,negation,
I understand. Our puppy sheds a ton too and he isnt even that hairy of a dog,"I don't have a dog, but I do have a cat named Sprinkles.",self-contradiction,negation,
yum . my sister often has those at her shows .,I only have one brother and no other siblings. He is a chef.,self-contradiction,lexical,
"I am a lawyer, most of the 60 hours I work is meeting clients. ","I don't know about that, I barely make enough hours to qualify for part-time.  ",self-contradiction,numeric,
Wow I'm so sorry. Were you a kid?,Oh. I don't care then.,self-contradiction,negation,
I had a Lexus CT.,"Sorry, I meant to say that I had the Lexus IS - it was a sedan",self-contradiction,lexical,
aww i hope my fiance is ready for me to pop the question at comicon,"im sure she will be, after why dont i come over and we eat some good tofu.",self-contradiction,N-a,Missing Context
I got caught by a train and it made me late for work,You'll be fine; I'm not worried at all for you because you still made it to work on time.,self-contradiction,negation,
"Wheel chairs must be strong, what are they made of?",That sounds flimsy. ,self-contradiction,N-a,Missing Context
i am a boring stay at home mom,I love excitement!,self-contradiction,N-a,not really a contradiction
"It is, but before the 1950s there were no professional cheerleading teams",Well there's been pro teams since the 30s,self-contradiction,numeric,
That's awesome! Sometimes my dog tries to run but I don't like to.,"I guess I'll plant the flowers then, since I don't have a dog. ",self-contradiction,negation,
"yea, I like sprite too. Don't drink it a lot though","Yeah, I hate Sprite and Dr. Pepper. I never drink soda.",self-contradiction,antonymy,
"In China, I believe you can have multiple children.","Oh, I never new that. I can believe that China allows more then one child.",self-contradiction,negation,Missing Context
LOL.  I had one growing up.  I miss him.,"No, he's right here next to me.",self-contradiction,negation,Missing Context
Yes It taste is nice and sweety,That is a lot of options. I don't like candy though.  It tastes horrible. ,self-contradiction,antonymy,Missing Context
swell ! maybe i have seen you down at the diner where i work ?,I've always been confident. I live to talk to people!,self-contradiction,N-a,not really a contradiction
"Nothing wrong with that, I live near a park so it's the perfect background for pics.",I wish I lived near a park. The closest one is way on the other side of town.,self-contradiction,lexical,
"Oh, yes, and he was born 18 March 1956 in Methil, Fife","No, he is dead.",self-contradiction,negation,Missing Context
"well the actual color of the win can range from intense violet, typical of young wines, through a brick red for mature wins and brown for older red wines.",wine is funny because it can be clear without color,self-contradiction,negation,not really a contradiction & 
I've been to a lot! It's a nice change of pace from being in the office,i have never been to a music festival but it sounds like fun,self-contradiction,negation,Missing Context
Is it a big city? Successful city? Unique at all? What makes people want to live there?,"Huh, doesn't do much for me. I'm looking for a small, quiet place to settle down. Boring would be better.",self-contradiction,negation,Missing Context
I love that nostalgic feeling. ,This is why I don't like looking at anything that brings back any past memories! ,self-contradiction,negation,
"Oh thats awesome,  im sure you were excited to help","Yeah, it does sound boring.",self-contradiction,antonymy,Missing Context
"that sounds like a plan , eggplant is my fave food , biggest achievement winning 3rd grad spelling bee .",Just as well... I hate to cook.,self-contradiction,N-a,not really a contradiction
"No, i'm actually a tea totaler ",No but I've attended AA before several years ago.,self-contradiction,N-a,
"He is an alright actor, not the best lol But he did sell 23 million records in US and 35 around the world",I think he is not good with acting,self-contradiction,negation,
"No, I eat both meat and veggies. What kind of food do you like?","I love vegetables! I'm sure they are delicious out of your garden. I am a vegetarian, so I appreciate good veggies. ",self-contradiction,negation,
i think everyone should go for higher education,I think higher education is stupid and no one should go to school for it. ,self-contradiction,lexical,
Haha I would've done the same. Those toys always make me lose myself. They're so much fun!,"No, I don't like toys, they are for kids. I find them boring.",self-contradiction,negation,
i do not like it because that was slightly ugly.,"no,it was good place",self-contradiction,negation,Missing Context
"My mother loves her work schedule, she says its very flexible. ",Tell her it wont be okay.,self-contradiction,N-a,Missing Context
"Greece, officially known as the Hellenic Republic, has such a rich history.",Greece has a poor history ,self-contradiction,antonymy,
awesome ! i did a lot of art while i was homeschooled,I went to public school and there was no art class.,self-contradiction,negation,
its called ovo vegetarian but the only non vegan thing eat is eggs,well to be ovo vegetarian technically means i can't eat eggs but i still eat them I guess so idk,self-contradiction,negation,
that sounds like fun . do you come across things from africa often ? i like exotic animals .,Gross i can't stand exotic animals i much prefer something like dogs,self-contradiction,lexical,
Yep! North carolina is the 9th most populous state in america. beautiful place to be with kids!,North Carolina is not a good place for kids.,self-contradiction,negation,
That's neat! I learned in college so I've had time to delve into it quite a bit and it is very fun. You choose great!,My cousin and I are actually working on a website too! It's a project for our high school newspaper. ,self-contradiction,N-a,not really a contradiction
They can be a way to zone out for sure..I play too many video games im sure..Do you like Pepsi? I sure do!,"That's true, there is a Discord server for everything these days. Just the other day I joined a Discord server for people who hate soda, it was cool to meet like-minded people.",self-contradiction,antonymy,
would to fish to,i have never done so,self-contradiction,negation,
"You are lucky. My stepfather loves my mom very much, but I am not so important to him. ",My stepfather and I often discuss comic books. We're very close.,self-contradiction,lexical,
wow you dont see that everyday. thats a good friend to have by your side,"Not a very good friend, huh?",self-contradiction,negation,
"Yes, but I graduate, soon! I'm super excited about it. What about you?","Jobs, that's the reason I'm not excited about graduation.",self-contradiction,negation,
I get that.  It's weird when I forget the name of someone I knew for years.,"i have a big memory ,hardly do i forget things,especially names of people that i come across",self-contradiction,lexical,
